"items","support","count"
"{few districts,few existing units,few proposed units,Permit type8,proposed construction type5,some streets}",0.052158273381295,1131
"{few districts,few existing units,Permit type8,proposed construction type5,some streets}",0.052158273381295,1131
"{few existing units,few proposed units,Permit type8,proposed construction type5,some streets}",0.052158273381295,1131
"{few districts,few proposed units,Permit type8,proposed construction type5,some streets}",0.052158273381295,1131
"{few districts,Permit type8,proposed construction type5,some streets}",0.052158273381295,1131
"{few proposed units,Permit type8,proposed construction type5,some streets}",0.052158273381295,1131
"{few existing units,Permit type8,proposed construction type5,some streets}",0.052158273381295,1131
"{few districts,few existing units,few proposed units,proposed construction type5,some streets}",0.0546485888212507,1185
"{few districts,few existing units,proposed construction type5,some streets}",0.0546485888212507,1185
"{few existing units,few proposed units,proposed construction type5,some streets}",0.0546485888212507,1185
"{few districts,few proposed units,proposed construction type5,some streets}",0.0546485888212507,1185
"{few districts,proposed construction type5,some streets}",0.0546485888212507,1185
"{few proposed units,proposed construction type5,some streets}",0.0546485888212507,1185
"{few existing units,proposed construction type5,some streets}",0.0546485888212507,1185
"{Permit type8,proposed construction type5,some streets}",0.052158273381295,1131
"{few existing stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{few proposed stories,proposed construction type5,some streets}",0.0532650802434975,1155
"{existing construction type5,proposed construction type5,some streets}",0.0546485888212507,1185
"{existing construction type5,few districts,few existing stories,few proposed stories,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few existing stories,few proposed stories,few proposed units,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few existing stories,few existing units,few proposed stories,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few districts,few existing stories,few existing units,few proposed stories,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing stories,few existing units,few proposed stories,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few districts,few existing stories,few proposed stories,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few districts,few existing stories,few proposed stories,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing stories,few proposed stories,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing stories,few existing units,few proposed stories,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing stories,few proposed stories,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few districts,few existing units,few proposed stories,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few existing units,few proposed stories,few proposed units,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few districts,few proposed stories,few proposed units,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few districts,few proposed stories,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few proposed stories,few proposed units,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few existing units,few proposed stories,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few districts,few existing units,few proposed stories,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few districts,few existing units,few proposed stories,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing units,few proposed stories,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few districts,few proposed stories,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few districts,few proposed stories,some streets}",0.0532650802434975,1155
"{existing construction type5,few proposed stories,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing units,few proposed stories,some streets}",0.0532650802434975,1155
